word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
ovu,215,215,NA,15,27,28,3,Croatian,224755,ov,Croatian,this,13,"ovo, ovoj, ovu, ovog, ove, ova, ovoga, ovim, ovi, ovom, ovih, ovima, ov",2453,3.6153846153846154,2453,6.2317146845966995,93,562,479
trgala,2,2,4,NA,NA,NA,6,Croatian,224755,trga,Croatian,tear,6,"trgala, trgati, trgat, trga, trg, trgaju",32,5,32,6.306060606060606,2,9,0
trgati,11,11,4.363636363636363,1,5,NA,6,Croatian,224755,trga,Croatian,tear,6,"trgala, trgati, trgat, trga, trg, trgaju",32,5,32,6.306060606060606,2,9,0
mu,492,492,NA,10,17,NA,2,Croatian,224755,mu,Croatian,moo,2,"mu, muuu",498,3,498,1.8333333333333333,14,17,2
naočale,31,31,6.419354838709677,2,13,4,7,Croatian,224755,naoča,Croatian,glasses,1,naočale,31,7,31,6.419354838709677,2,13,4
mamom,36,36,8.333333333333334,1,11,NA,5,Croatian,224755,mam,Croatian,mommy,6,"mama, mami, mamu, mamom, mame, mam",1295,4,1295,12.166666666666668,39,244,189
voziti,46,46,NA,1,17,2,6,Croatian,224755,vozit,Croatian,drive,2,"voziti, vozit",93,5.5,93,6.680851063829787,1,28,5
beba,203,203,NA,14,70,41,4,Croatian,224755,beb,Croatian,baby,7,"beba, bebom, bebu, bebe, bebi, bebama, bebo",302,4.428571428571429,302,5.271428571428571,19,105,51
bebom,2,2,7,NA,NA,NA,5,Croatian,224755,beb,Croatian,baby,7,"beba, bebom, bebu, bebe, bebi, bebama, bebo",302,4.428571428571429,302,5.271428571428571,19,105,51
vani,143,143,6.475524475524476,3,82,6,4,Croatian,224755,van,Croatian,out,2,"van, vani",320,3.5,320,6.475524475524476,10,194,12
sta,3,3,5,NA,2,1,3,Croatian,224755,sta,Croatian,stop,6,"sta, stati, stala, stat, stao, stali",57,4.333333333333333,57,7.7400155400155395,1,27,5
bebu,46,46,NA,2,14,8,4,Croatian,224755,beb,Croatian,baby,7,"beba, bebom, bebu, bebe, bebi, bebama, bebo",302,4.428571428571429,302,5.271428571428571,19,105,51
stati,22,22,6.454545454545454,NA,12,NA,5,Croatian,224755,sta,Croatian,stop,6,"sta, stati, stala, stat, stao, stali",57,4.333333333333333,57,7.7400155400155395,1,27,5
tvoj,152,152,NA,9,20,13,4,Croatian,224755,tvoj,Croatian,your,7,"tvoja, tvoj, tvoje, tvoju, tvojoj, tvoji, tvojom",456,5.142857142857143,456,7.370887617537102,16,70,30
pjeva,26,26,4.769230769230769,4,13,1,5,Croatian,224755,pjev,Croatian,sing,13,"pjevala, pjeva, pjevati, pjevamo, pjevaj, pjevam, pjevali, pjevat, pjevaju, pjevao, pjevajući, pjevale, pjevate",205,6.6923076923076925,205,4.9954793756967675,8,107,9
radio,106,106,NA,4,40,1,5,Croatian,224755,radi,Croatian,radio,16,"rade, radi, radili, radio, radila, raditi, radim, radimo, radit, rada, radu, radom, radite, radove, radile, rado",1100,5.125,1100,6.36843021240034,22,488,16
plakati,36,36,7.694444444444445,NA,21,NA,7,Croatian,224755,plaka,Croatian,cry,6,"plakati, plakao, plakala, plaka, plakat, plakal",99,6.166666666666667,99,6.98400054466231,0,56,5
bacila,42,42,5.666666666666667,1,17,4,6,Croatian,224755,baci,Croatian,throw,10,"bacio, baciti, bacila, baci, bacim, bacimo, bacili, baca, bacit, bac",316,5,316,6.398111380660538,11,125,46
baci,89,89,4.662921348314606,6,31,23,4,Croatian,224755,bac,Croatian,throw,10,"bacio, baciti, bacila, baci, bacim, bacimo, bacili, baca, bacit, bac",316,5,316,6.398111380660538,11,125,46
loptati,20,20,7.35,1,13,NA,7,Croatian,224755,lopta,Croatian,ball,12,"loptati, loptu, loptom, lopta, lopte, loptamo, loptajte, lopti, loptali, loptao, loptat, loptate",255,6.166666666666667,255,6.58491348062376,6,141,15
iza,97,97,8.185567010309278,4,5,17,3,Croatian,224755,iz,Croatian,back (location),2,"iza, iz",306,2.5,306,8.185567010309278,11,6,46
jesti,47,47,6.382978723404255,NA,24,NA,5,Croatian,224755,jest,Croatian,eat,2,"jesti, jest",74,4.5,74,7.54334121355398,0,29,2
više,311,311,NA,2,94,14,4,Croatian,224755,viš,Croatian,more,3,"još, više, viš",1600,3.3333333333333335,1600,5.75,80,357,218
onu,112,112,NA,2,4,19,3,Croatian,224755,on,Croatian,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,11.848140212670794,23,108,315
slika,21,21,4.476190476190476,4,9,4,5,Croatian,224755,slik,Croatian,picture,11,"sliku, slikama, slike, slika, slikam, slikaj, sliki, slikala, slikali, slikamo, slikovi",60,6.090909090909091,60,5.431168831168831,6,28,7
gore,182,182,NA,7,78,17,4,Croatian,224755,gor,Croatian,up,3,"gore, gor, gori",188,3.6666666666666665,188,7,8,81,17
ona,365,365,NA,2,14,77,3,Croatian,224755,on,Croatian,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,11.848140212670794,23,108,315
tući,17,17,6.705882352941177,1,8,1,4,Croatian,224755,tuć,Croatian,fight,2,"tući, tuć",19,3.5,19,9.602941176470589,1,9,1
dobra,74,74,6.378378378378378,2,25,5,5,Croatian,224755,dobr,Croatian,good,8,"dobro, dobra, dobre, dobri, dobrog, dobru, dobroj, dobrom",1151,5.375,1151,7.425238425238425,439,212,282
tebi,165,165,NA,4,23,16,4,Croatian,224755,teb,Croatian,you,3,"ti, tebe, tebi",5385,3.3333333333333335,5385,NA,65,349,470
nemamo,29,29,NA,2,1,10,6,Croatian,224755,nema,Croatian,all gone,7,"nema, nemoj, nemamo, nemam, nemaš, nemate, nemaju",1174,5.285714285714286,1174,5.898148148148148,80,144,533
pila,17,17,5.9411764705882355,NA,7,1,4,Croatian,224755,pi,Croatian,chicken (animal),6,"pila, pile, pio, pi, piu, pili",74,3.3333333333333335,74,5.333946078431373,5,39,3
mlijeko,35,35,NA,3,17,5,7,Croatian,224755,mlijek,Croatian,milk,2,"mlijeka, mlijeko",75,7,75,NA,13,32,9
bake,24,24,NA,1,11,NA,4,Croatian,224755,bak,Croatian,grandma,7,"baku, baka, bakom, bake, baki, bako, bak",365,4,365,6.1278417555086335,9,78,54
